"strokeNumber","time","x","y"
"0","4392","9","12.04"
"0","4393","8","12.04"
"0","4406","8","12.04"
"0","4420","8","12.04"
"0","4436","8","12.04"
"0","4466","8","12.04"
"0","4474","8","12.04"
"0","4488","8","12.04"
"0","4504","8","12.04"
"0","4518","8","12.04"
"0","4534","8","12.04"
"0","4548","8","12.04"
"0","4562","8","12.04"
"0","4578","8","12.04"
"0","4592","12","12.04"
"0","4608","17","12.04"
"0","4624","20","12.04"
"0","4646","25","12.04"
"0","4668","28","12.04"
"0","4676","29","12.04"
"0","4690","30","12.04"
"0","4706","31","12.04"
"0","4720","32","12.04"
"0","4736","32","13.04"
"1","4864","23","14.04"
"1","4865","23","14.04"
"1","4878","23","15.04"
"1","4892","23","17.04"
"1","4908","23","20.04"
"1","4922","23","23.04"
"1","4938","23","25.04"
"1","4954","23","27.04"
"1","4968","23","29.04"
"1","4998","21","32.04"
"1","5007","20","33.04"
"2","5142","12","32.04"
"2","5154","12","32.04"
"2","5156","17","32.04"
"2","5170","20","32.04"
"2","5186","22","32.04"
"2","5217","25","32.04"
"2","5218","26","32.04"
"3","5345","37","26.04"
"3","5361","37","26.04"
"3","5374","37","26.04"
"3","5396","37","26.04"
"3","5426","37","28.04"
"3","5440","37","30.04"
"3","5456","37","33.04"
"3","5470","36","34.04"
"3","5486","36","34.04"
"3","5500","36","34.04"
"3","5516","36","33.04"
"3","5530","40","30.04"
"3","5546","43","28.04"
"3","5560","45","28.04"
"3","5576","46","28.04"
"3","5598","47","28.04"
"3","5614","48","30.04"
"3","5628","49","31.04"
"3","5642","50","32.04"
"3","5658","50","32.04"
"3","5666","50","32.04"
"4","5951","72","12.04"
"4","5958","72","12.04"
"4","5974","72","12.04"
"4","5988","72","12.04"
"4","6004","72","12.04"
"4","6018","73","12.04"
"4","6034","75","12.04"
"4","6048","79","11.04"
"4","6062","82","11.04"
"4","6078","85","10.04"
"4","6092","86","10.04"
"4","6108","87","10.04"
"4","6130","87","10.04"
"4","6147","87","10.04"
